day,product_title,variant_title,total_sales,net_quantity
2016-02-12,Hindærsnitte,Default Title,125.000,5
2016-02-12,Karamel Croissant,Default Title,243.000,9
2016-02-12,Other brød,Default Title,90.000,2
2016-02-13,Kanelsnegl,Default Title,550.000,22
2016-02-13,Other brød,Default Title,45.000,1
2016-02-13,Landbrød,Default Title,120.000,3
2016-02-13,Hindærsnitte,Default Title,225.000,9
2016-02-13,Brownie,Default Title,570.000,19
2016-02-13,Karamel Croissant,Default Title,216.000,8
2016-02-14,,,0.000,0
2016-02-15,Landbrød,Default Title,40.000,1
2016-02-15,Hindærsnitte,Default Title,245.000,10
2016-02-15,Karamel Croissant,Default Title,81.000,3
2016-02-15,Kanelsnegl,Default Title,550.000,22
2016-02-15,Brownie,Default Title,270.000,9
2016-02-16,Kanelsnegl,Default Title,407.140,17
2016-02-16,Brownie,Default Title,357.860,12
2016-02-16,Hindærsnitte,Default Title,200.000,8
2016-02-16,Karamel Croissant,Default Title,81.000,3
2016-02-17,Karamel Croissant,Default Title,162.000,6
2016-02-17,Kanelsnegl,Default Title,390.000,16
2016-02-17,Hindærsnitte,Default Title,235.000,10
2016-02-18,Landbrød,Default Title,40.000,1
2016-02-18,Karamel Croissant,Default Title,162.000,6
2016-02-18,Hindærsnitte,Default Title,250.000,10
2016-02-18,Brownie,Default Title,270.000,9
2016-02-18,Kanelsnegl,Default Title,522.730,21
2016-02-19,Karamel Croissant,Default Title,324.000,12
2016-02-19,Kanelsnegl,Default Title,645.000,26
2016-02-19,Hindærsnitte,Default Title,200.000,8
2016-02-19,Brownie,Default Title,540.000,18
2016-02-19,Landbrød,Default Title,80.000,2
2016-02-20,Landbrød,Default Title,200.000,5
2016-02-20,Brownie,Default Title,385.000,13
2016-02-20,Hindærsnitte,Default Title,285.000,12
2016-02-20,Kanelsnegl,Default Title,635.000,27
2016-02-20,Karamel Croissant,Default Title,108.000,4
2016-02-21,Landbrød,Default Title,280.000,7
2016-02-21,Kanelsnegl,Default Title,468.080,19
2016-02-21,Brownie,Default Title,210.000,7
2016-02-21,Hindærsnitte,Default Title,187.500,8
2016-02-21,Karamel Croissant,Default Title,54.000,2
2016-02-22,Hindærsnitte,Default Title,216.000,9
2016-02-22,Other brød,Default Title,45.000,1
2016-02-22,Brownie,Default Title,300.000,10
2016-02-22,Kanelsnegl,Default Title,475.000,19
2016-02-22,Karamel Croissant,Default Title,162.000,6
2016-02-22,Landbrød,Default Title,200.000,5
2016-02-23,Kanelsnegl,Default Title,410.000,17
2016-02-23,Karamel Croissant,Default Title,81.000,3
2016-02-23,Landbrød,Default Title,160.000,4
2016-02-23,Hindærsnitte,Default Title,125.000,5
2016-02-23,Brownie,Default Title,150.000,5
2016-02-24,Brownie,Default Title,330.000,11
2016-02-24,Karamel Croissant,Default Title,135.000,5
2016-02-24,Kanelsnegl,Default Title,524.620,21
2016-02-24,Landbrød,Default Title,120.000,3
2016-02-24,Hindærsnitte,Default Title,275.000,11
2016-02-25,Hindærsnitte,Default Title,220.000,9
2016-02-25,Landbrød,Default Title,80.000,2
2016-02-25,Kanelsnegl,Default Title,488.450,20
2016-02-25,Brownie,Default Title,210.000,7
2016-02-25,Karamel Croissant,Default Title,135.000,5
2016-02-26,Brownie,Default Title,180.000,6
2016-02-26,Hindærsnitte,Default Title,262.500,11
2016-02-26,Kanelsnegl,Default Title,560.000,23
2016-02-26,Landbrød,Default Title,240.000,6
2016-02-26,Karamel Croissant,Default Title,324.000,12
2016-02-27,Hindærsnitte,Default Title,275.000,11
2016-02-27,Kanelsnegl,Default Title,575.000,23
2016-02-27,Brownie,Default Title,420.000,14
2016-02-27,Landbrød,Default Title,200.000,5
2016-02-27,Karamel Croissant,Default Title,270.000,10
2016-02-28,Landbrød,Default Title,80.000,2
2016-02-28,Karamel Croissant,Default Title,108.000,4
2016-02-28,Kanelsnegl,Default Title,425.000,17
2016-02-28,Hindærsnitte,Default Title,210.000,9
2016-02-28,Brownie,Default Title,90.000,3
2016-02-29,Landbrød,Default Title,260.000,7
2016-02-29,Kanelsnegl,Default Title,381.890,16
2016-02-29,Hindærsnitte,Default Title,175.000,7
2016-02-29,Brownie,Default Title,120.000,4
2016-02-29,Karamel Croissant,Default Title,67.500,3
2016-03-01,Hindærsnitte,Default Title,50.000,2
2016-03-01,Karamel Croissant,Default Title,135.000,5
2016-03-01,Kanelsnegl,Default Title,125.000,5
2016-03-01,Landbrød,Default Title,160.000,4
2016-03-01,Brownie,Default Title,90.000,3
2016-03-02,Karamel Croissant,Default Title,93.000,4
2016-03-02,Landbrød,Default Title,200.000,5
2016-03-02,Hindærsnitte,Default Title,135.000,6
2016-03-02,Brownie,Default Title,150.000,5
2016-03-02,Kanelsnegl,Default Title,455.000,19
2016-03-03,Other brød,Default Title,135.000,3
2016-03-03,Karamel Croissant,Default Title,27.000,1
2016-03-03,Landbrød,Default Title,240.000,6
2016-03-03,Kanelsnegl,Default Title,440.000,19
2016-03-03,Hindærsnitte,Default Title,225.000,9
2016-03-03,Brownie,Default Title,120.000,4
2016-03-04,Karamel Croissant,Default Title,135.000,5
2016-03-04,Kanelsnegl,Default Title,632.500,27
2016-03-04,Hindærsnitte,Default Title,135.000,6
2016-03-04,Brownie,Default Title,240.000,8
2016-03-04,Landbrød,Default Title,280.000,7
2016-03-05,Hindærsnitte,Default Title,100.000,4
2016-03-05,Kanelsnegl,Default Title,646.840,26
2016-03-05,Other brød,Default Title,135.000,3
2016-03-05,Karamel Croissant,Default Title,108.000,4
2016-03-05,Brownie,Default Title,480.000,16
2016-03-05,Landbrød,Default Title,120.000,3
2016-03-06,Kanelsnegl,Default Title,575.000,23
2016-03-06,Landbrød,Default Title,40.000,1
2016-03-06,Hindærsnitte,Default Title,222.690,9
2016-03-06,Karamel Croissant,Default Title,162.000,6
2016-03-06,Brownie,Default Title,240.000,8
2016-03-07,Brownie,Default Title,120.000,4
2016-03-07,Karamel Croissant,Default Title,54.000,2
2016-03-07,Hindærsnitte,Default Title,175.000,7
2016-03-07,Kanelsnegl,Default Title,275.000,11
2016-03-07,Landbrød,Default Title,160.000,4
2016-03-08,Brownie,Default Title,90.000,3
2016-03-08,Kanelsnegl,Default Title,132.870,6
2016-03-08,Hindærsnitte,Default Title,220.000,9
2016-03-08,Landbrød,Default Title,120.000,3
2016-03-08,Karamel Croissant,Default Title,78.130,3
2016-03-09,Kanelsnegl,Default Title,268.080,11
2016-03-09,Brownie,Default Title,210.000,7
2016-03-09,Landbrød,Default Title,160.000,4
2016-03-09,Hindærsnitte,Default Title,118.710,5
2016-03-10,Hindærsnitte,Default Title,250.000,10
2016-03-10,Other brød,Default Title,135.000,3
2016-03-10,Landbrød,Default Title,80.000,2
2016-03-10,Karamel Croissant,Default Title,132.630,5
2016-03-10,Kanelsnegl,Default Title,587.800,24
2016-03-10,Brownie,Default Title,205.000,7
2016-03-11,Kanelsnegl,Default Title,635.000,27
2016-03-11,Landbrød,Default Title,80.000,2
2016-03-11,Hindærsnitte,Default Title,295.000,12
2016-03-11,Karamel Croissant,Default Title,292.000,11
2016-03-11,Brownie,Default Title,210.000,7
2016-03-11,Other brød,Default Title,135.000,3
2016-03-12,Kanelsnegl,Default Title,675.000,27
2016-03-12,Hindærsnitte,Default Title,175.000,7
2016-03-12,Landbrød,Default Title,80.000,2
2016-03-12,Karamel Croissant,Default Title,324.000,12
2016-03-12,Other brød,Default Title,90.000,2
2016-03-12,Brownie,Default Title,450.000,15
2016-03-13,Landbrød,Default Title,40.000,1
2016-03-13,Hindærsnitte,Default Title,225.000,9
2016-03-13,Brownie,Default Title,410.000,14
2016-03-13,Kanelsnegl,Default Title,615.000,25
2016-03-14,Landbrød,Default Title,80.000,2
2016-03-14,Brownie,Default Title,81.000,3
2016-03-14,Karamel Croissant,Default Title,135.000,5
2016-03-14,Hindærsnitte,Default Title,75.000,3
2016-03-14,Kanelsnegl,Default Title,345.000,14
2016-03-14,Other brød,Default Title,90.000,2
2016-03-15,Landbrød,Default Title,160.000,4
2016-03-15,Kanelsnegl,Default Title,275.000,11
2016-03-15,Brownie,Default Title,52.000,2
2016-03-15,Karamel Croissant,Default Title,160.690,6
2016-03-15,Hindærsnitte,Default Title,300.000,12
2016-03-16,Other brød,Default Title,90.000,2
2016-03-16,Hindærsnitte,Default Title,145.000,6
2016-03-16,Brownie,Default Title,192.000,8
2016-03-16,Kanelsnegl,Default Title,382.500,16
2016-03-16,Landbrød,Default Title,120.000,3
2016-03-16,Karamel Croissant,Default Title,106.290,4
2016-03-17,Landbrød,Default Title,80.000,2
2016-03-17,Hindærsnitte,Default Title,25.000,1
2016-03-17,Karamel Croissant,Default Title,108.000,4
2016-03-17,Kanelsnegl,Default Title,340.000,14
2016-03-17,Brownie,Default Title,108.000,4
2016-03-18,Hindærsnitte,Default Title,300.000,12
2016-03-18,Brownie,Default Title,351.000,13
2016-03-18,Kanelsnegl,Default Title,400.000,16
2016-03-18,Landbrød,Default Title,120.000,3
2016-03-18,Karamel Croissant,Default Title,162.000,6
2016-03-19,Karamel Croissant,Default Title,238.000,9
2016-03-19,Other brød,Default Title,45.000,1
2016-03-19,Hindærsnitte,Default Title,225.000,9
2016-03-19,Kanelsnegl,Default Title,680.000,28
2016-03-19,Brownie,Default Title,120.000,4
2016-03-19,Landbrød,Default Title,120.000,3
2016-03-20,Brownie,Default Title,180.000,6
2016-03-20,Hindærsnitte,Default Title,300.000,12
2016-03-20,Karamel Croissant,Default Title,243.000,9
2016-03-20,Kanelsnegl,Default Title,595.000,24
2016-03-20,Landbrød,Default Title,240.000,6
2016-03-21,Brownie,Default Title,510.000,17
2016-03-21,Hindærsnitte,Default Title,225.000,9
2016-03-21,Landbrød,Default Title,120.000,3
2016-03-21,Kanelsnegl,Default Title,740.000,30
2016-03-22,Brownie,Default Title,281.000,10
2016-03-22,Karamel Croissant,Default Title,135.000,5
2016-03-22,Landbrød,Default Title,80.000,2
2016-03-22,Kanelsnegl,Default Title,500.000,20
2016-03-22,Hindærsnitte,Default Title,375.000,15
2016-03-23,Kanelsnegl,Default Title,640.000,26
2016-03-23,Landbrød,Default Title,200.000,5
2016-03-23,Karamel Croissant,Default Title,135.000,5
2016-03-23,Hindærsnitte,Default Title,175.000,7
2016-03-23,Brownie,Default Title,350.000,12
2016-03-24,Landbrød,Default Title,320.000,8
2016-03-24,Brownie,Default Title,378.000,13
2016-03-24,Hindærsnitte,Default Title,300.000,12
2016-03-24,Karamel Croissant,Default Title,179.000,7
2016-03-24,Kanelsnegl,Default Title,325.000,13
2016-03-25,Hindærsnitte,Default Title,215.000,9
2016-03-25,Landbrød,Default Title,240.000,6
2016-03-25,Brownie,Default Title,290.000,10
2016-03-25,Kanelsnegl,Default Title,500.000,21
2016-03-25,Other brød,Default Title,90.000,2
2016-03-25,Karamel Croissant,Default Title,152.000,6
2016-03-26,Other brød,Default Title,90.000,2
2016-03-26,Kanelsnegl,Default Title,770.000,31
2016-03-26,Landbrød,Default Title,400.000,10
2016-03-26,Hindærsnitte,Default Title,450.000,18
2016-03-26,Karamel Croissant,Default Title,216.000,8
2016-03-26,Brownie,Default Title,510.000,17
2016-03-27,Kanelsnegl,Default Title,325.000,14
2016-03-27,Landbrød,Default Title,235.740,6
2016-03-27,Hindærsnitte,Default Title,150.000,6
2016-03-27,Karamel Croissant,Default Title,210.260,8
2016-03-27,Other brød,Default Title,90.000,2
2016-03-28,Brownie,Default Title,360.000,12
2016-03-28,Hindærsnitte,Default Title,220.000,9
2016-03-28,Karamel Croissant,Default Title,135.000,5
2016-03-28,Landbrød,Default Title,200.000,5
2016-03-28,Kanelsnegl,Default Title,380.000,16
2016-03-29,Karamel Croissant,Default Title,108.000,4
2016-03-29,Landbrød,Default Title,120.000,3
2016-03-29,Brownie,Default Title,55.000,2
2016-03-29,Hindærsnitte,Default Title,100.000,5
2016-03-29,Kanelsnegl,Default Title,405.000,17
2016-03-30,Karamel Croissant,Default Title,135.000,5
2016-03-30,Hindærsnitte,Default Title,100.000,4
2016-03-30,Brownie,Default Title,120.000,4
2016-03-30,Kanelsnegl,Default Title,292.650,12
2016-03-30,Landbrød,Default Title,160.000,4
2016-03-31,Brownie,Default Title,445.000,15
2016-03-31,Landbrød,Default Title,120.000,3
2016-03-31,Kanelsnegl,Default Title,410.000,17
2016-03-31,Hindærsnitte,Default Title,125.000,5
2016-04-01,Brownie,Default Title,210.000,7
2016-04-01,Karamel Croissant,Default Title,201.000,8
2016-04-01,Kanelsnegl,Default Title,550.760,23
2016-04-01,Landbrød,Default Title,240.000,6
2016-04-01,Hindærsnitte,Default Title,305.760,13
2016-04-01,Other brød,Default Title,45.000,1
2016-04-02,Kanelsnegl,Default Title,520.000,21
2016-04-02,Brownie,Default Title,480.000,16
2016-04-02,Landbrød,Default Title,120.000,3
2016-04-02,Hindærsnitte,Default Title,315.000,13
2016-04-02,Karamel Croissant,Default Title,108.000,4
2016-04-03,Kanelsnegl,Default Title,475.000,19
2016-04-03,Karamel Croissant,Default Title,108.000,4
2016-04-03,Landbrød,Default Title,120.000,3
2016-04-03,Brownie,Default Title,355.000,12
2016-04-03,Hindærsnitte,Default Title,290.000,12
2016-04-04,Landbrød,Default Title,120.000,3
2016-04-04,Kanelsnegl,Default Title,250.000,10
2016-04-04,Brownie,Default Title,180.000,6
2016-04-04,Hindærsnitte,Default Title,98.080,4
2016-04-04,Karamel Croissant,Default Title,81.000,3
2016-04-05,Hindærsnitte,Default Title,250.000,10
2016-04-05,Karamel Croissant,Default Title,132.000,6
2016-04-05,Landbrød,Default Title,80.000,2
2016-04-05,Brownie,Default Title,120.000,4
2016-04-05,Kanelsnegl,Default Title,597.140,24
2016-04-06,Landbrød,Default Title,120.000,3
2016-04-06,Brownie,Default Title,150.000,5
2016-04-06,Karamel Croissant,Default Title,157.000,6
2016-04-06,Kanelsnegl,Default Title,325.000,13
2016-04-06,Hindærsnitte,Default Title,225.000,9
2016-04-07,Kanelsnegl,Default Title,440.000,19
2016-04-07,Brownie,Default Title,210.000,7
2016-04-07,Landbrød,Default Title,160.000,4
2016-04-07,Karamel Croissant,Default Title,189.000,7
2016-04-07,Hindærsnitte,Default Title,250.000,10
2016-04-08,Hindærsnitte,Default Title,175.000,7
2016-04-08,Kanelsnegl,Default Title,620.000,25
2016-04-08,Karamel Croissant,Default Title,270.000,10
2016-04-08,Landbrød,Default Title,360.000,9
2016-04-08,Brownie,Default Title,210.000,7
2016-04-09,Karamel Croissant,Default Title,243.000,9
2016-04-09,Other brød,Default Title,45.000,1
2016-04-09,Landbrød,Default Title,120.000,3
2016-04-09,Brownie,Default Title,480.000,16
2016-04-09,Kanelsnegl,Default Title,700.000,28
2016-04-09,Hindærsnitte,Default Title,250.000,10
2016-04-10,Kanelsnegl,Default Title,585.000,25
2016-04-10,Hindærsnitte,Default Title,100.000,4
2016-04-10,Other brød,Default Title,90.000,2
2016-04-10,Landbrød,Default Title,120.000,3
2016-04-10,Brownie,Default Title,255.000,9
2016-04-10,Karamel Croissant,Default Title,233.000,9
2016-04-10,Lemontart,,27.000,1
2016-04-11,Kanelsnegl,Default Title,225.000,9
2016-04-11,Hindærsnitte,Default Title,270.000,11
2016-04-11,Karamel Croissant,Default Title,54.000,2
2016-04-11,Brownie,Default Title,90.000,3
2016-04-11,Landbrød,Default Title,200.000,5
2016-04-12,Karamel Croissant,Default Title,106.610,4
2016-04-12,Landbrød,Default Title,160.000,4
2016-04-12,Kanelsnegl,Default Title,315.000,13
2016-04-12,Brownie,Default Title,150.000,5
2016-04-12,Hindærsnitte,Default Title,150.000,6
2016-04-13,Kanelsnegl,Default Title,324.050,13
2016-04-13,Karamel Croissant,Default Title,106.980,4
2016-04-13,Brownie,Default Title,115.000,4
2016-04-13,Hindærsnitte,Default Title,200.000,8
2016-04-13,Landbrød,Default Title,440.000,11
2016-04-14,Landbrød,Default Title,200.000,5
2016-04-14,Kanelsnegl,Default Title,487.270,20
2016-04-14,Brownie,Default Title,298.710,10
2016-04-14,Karamel Croissant,Default Title,135.000,5
2016-04-14,Hindærsnitte,Default Title,361.150,15
2016-04-15,Hindærsnitte,Default Title,195.000,8
2016-04-15,Brownie,Default Title,150.000,5
2016-04-15,Landbrød,Default Title,240.000,6
2016-04-15,Kanelsnegl,Default Title,390.000,16
2016-04-15,Karamel Croissant,Default Title,108.000,4
2016-04-16,Karamel Croissant,Default Title,98.000,4
2016-04-16,Brownie,Default Title,390.000,13
2016-04-16,Hindærsnitte,Default Title,290.000,12
2016-04-16,Landbrød,Default Title,400.000,10
2016-04-16,Kanelsnegl,Default Title,675.000,27
2016-04-17,Landbrød,Default Title,200.000,5
2016-04-17,Hindærsnitte,Default Title,99.060,4
2016-04-17,Brownie,Default Title,137.140,6
2016-04-17,Kanelsnegl,Default Title,554.490,23
2016-04-18,Karamel Croissant,Default Title,150.000,5
2016-04-18,Landbrød,Default Title,60.000,2
2016-04-18,Kanelsnegl,Default Title,247.060,10
2016-04-18,Hindærsnitte,Default Title,150.000,6
2016-04-18,Brownie,Default Title,205.000,7
2016-04-18,Other brød,Default Title,45.000,1
2016-04-19,Brownie,Default Title,330.000,11
2016-04-19,Hindærsnitte,Default Title,275.000,11
2016-04-19,Kanelsnegl,Default Title,225.000,9
2016-04-19,Karamel Croissant,Default Title,60.000,2
2016-04-20,Brownie,Default Title,300.000,10
2016-04-20,Karamel Croissant,Default Title,90.000,3
2016-04-20,Kanelsnegl,Default Title,425.000,17
2016-04-20,Hindærsnitte,Default Title,195.000,8
2016-04-21,Brownie,Default Title,380.000,13
2016-04-21,Kanelsnegl,Default Title,418.290,17
2016-04-21,Karamel Croissant,Default Title,90.000,3
2016-04-21,Hindærsnitte,Default Title,222.840,9
2016-04-21,Landbrød,Default Title,320.000,8
2016-04-22,Hindærsnitte,Default Title,275.000,11
2016-04-22,Landbrød,Default Title,200.000,5
2016-04-22,Brownie,Default Title,390.000,13
2016-04-22,Karamel Croissant,Default Title,147.000,5
2016-04-22,Kanelsnegl,Default Title,660.440,27
2016-04-23,Landbrød,Default Title,360.000,9
2016-04-23,Hindærsnitte,Default Title,290.000,12
2016-04-23,Brownie,Default Title,450.000,15
2016-04-23,Kanelsnegl,Default Title,640.000,27
2016-04-23,Karamel Croissant,Default Title,345.000,12
2016-04-24,Landbrød,Default Title,200.000,5
2016-04-24,Kanelsnegl,Default Title,575.000,23
2016-04-24,Hindærsnitte,Default Title,175.000,7
2016-04-24,Karamel Croissant,Default Title,150.000,5
2016-04-25,Kanelsnegl,,420.000,17
2016-04-25,Karamel Croissant,,150.000,5
2016-04-25,Landbrød,Default Title,132.000,4
2016-04-25,Brownie,,210.000,7
2016-04-25,Hindærsnitte,,175.000,7
2016-04-25,Landbrød,,280.000,7
2016-04-26,Brownie,,30.000,1
2016-04-26,Hindærsnitte,,125.000,5
2016-04-26,Landbrød,,40.000,1
2016-04-26,Kanelsnegl,,250.000,10
2016-04-26,Karamel Croissant,,120.000,4
2016-04-27,Kanelsnegl,,400.000,16
2016-04-27,Hindærsnitte,,240.000,10
2016-04-27,Brownie,,390.000,13
2016-04-27,Landbrød,,40.000,1
2016-04-28,Kanelsnegl,,390.000,16
2016-04-28,Brownie,,60.000,2
2016-04-28,Landbrød,,40.000,1
2016-04-28,Karamel Croissant,,30.000,1
2016-04-28,Hindærsnitte,,75.000,3
2016-04-29,Karamel Croissant,,120.000,4
2016-04-29,Brownie,,330.000,11
2016-04-29,Kanelsnegl,,498.180,20
2016-04-29,Hindærsnitte,,250.000,10
2016-04-29,Landbrød,,159.070,4
2016-04-30,Kanelsnegl,,575.000,23
2016-04-30,Brownie,,180.000,6
2016-04-30,Karamel Croissant,,120.000,4
2016-04-30,Hindærsnitte,,315.000,13
2016-04-30,Landbrød,,80.000,2
2016-05-01,Kanelsnegl,,422.950,17
2016-05-01,Landbrød,,40.000,1
2016-05-01,Brownie,,300.000,10
2016-05-01,Karamel Croissant,,90.000,3
2016-05-01,Hindærsnitte,,291.670,12
2016-05-02,Landbrød,,320.000,8
2016-05-02,Karamel Croissant,,150.000,5
2016-05-02,Brownie,,265.000,9
2016-05-02,Hindærsnitte,,250.000,10
2016-05-02,Kanelsnegl,,522.950,21
2016-05-03,Kanelsnegl,,425.000,17
2016-05-03,Brownie,,270.000,9
2016-05-03,Landbrød,,240.000,6
2016-05-03,Hindærsnitte,,225.000,9
2016-05-03,Karamel Croissant,,140.000,5
2016-05-04,Kanelsnegl,,370.000,15
2016-05-04,Landbrød,,280.000,7
2016-05-04,Karamel Croissant,,150.000,5
2016-05-04,Hindærsnitte,,150.000,6
2016-05-04,Brownie,,150.000,5
2016-05-05,Landbrød,,240.000,6
2016-05-05,Hindærsnitte,,300.000,12
2016-05-05,Karamel Croissant,,210.000,7
2016-05-05,Kanelsnegl,,525.000,21
2016-05-05,Brownie,,270.000,9
2016-05-06,Hindærsnitte,,150.000,6
2016-05-06,Scones,,50.000,1
2016-05-06,Brownie,,150.000,5
2016-05-06,Kanelsnegl,,600.000,24
2016-05-06,Landbrød,,120.000,3
2016-05-07,Landbrød,,40.000,1
2016-05-07,Kanelsnegl,,420.000,17
2016-05-07,Brownie,,90.000,3
2016-05-07,Hindærsnitte,,300.000,12
2016-05-07,Karamel Croissant,,240.000,8
2016-05-08,Hindærsnitte,,50.000,2
2016-05-08,Karamel Croissant,,150.000,5
2016-05-08,Brownie,,60.000,2
2016-05-08,Landbrød,,440.000,11
2016-05-08,Kanelsnegl,,200.000,8
2016-05-09,Hindærsnitte,,124.620,5
2016-05-09,Kanelsnegl,,150.000,6
2016-05-09,Brownie,,60.000,2
2016-05-09,Landbrød,,186.000,5
2016-05-09,Karamel Croissant,,180.000,6
2016-05-10,Landbrød,,80.000,2
2016-05-10,Kanelsnegl,,195.000,8
2016-05-10,Hindærsnitte,,125.000,5
2016-05-10,Brownie,,210.000,7
2016-05-10,Karamel Croissant,,120.000,4
2016-05-11,Kanelsnegl,,175.000,7
2016-05-11,Karamel Croissant,,180.000,6
2016-05-11,Hindærsnitte,,125.000,5
2016-05-11,Brownie,,90.000,3
2016-05-11,Landbrød,,200.000,5
2016-05-12,Hindærsnitte,,250.000,10
2016-05-12,Landbrød,,70.000,2
2016-05-12,Brownie,,210.000,7
